production,lag_1,lag_2,lag_3
117.1114,113.6916,112.2728,89.5288
97.3994,117.1114,113.6916,112.2728
93.6471,97.3994,117.1114,113.6916
78.8262,93.6471,97.3994,117.1114
73.6548,78.8262,93.6471,97.3994
76.5236,73.6548,78.8262,93.6471
76.7767,76.5236,73.6548,78.8262
73.4034,76.7767,76.5236,73.6548
79.5478,73.4034,76.7767,76.5236
88.4485,79.5478,73.4034,76.7767
115.9014,88.4485,79.5478,73.4034
119.4066,115.9014,88.4485,79.5478
115.4294,119.4066,115.9014,88.4485
97.1736,115.4294,119.4066,115.9014
94.2793,97.1736,115.4294,119.4066
83.6225,94.2793,97.1736,115.4294
77.3408,83.6225,94.2793,97.1736
78.0336,77.3408,83.6225,94.2793
79.1708,78.0336,77.3408,83.6225
76.1298,79.1708,78.0336,77.3408
83.526,76.1298,79.1708,78.0336
90.7704,83.526,76.1298,79.1708
121.6259,90.7704,83.526,76.1298
124.8565,121.6259,90.7704,83.526
122.6595,124.8565,121.6259,90.7704
95.8055,122.6595,124.8565,121.6259
95.301,95.8055,122.6595,124.8565
89.874,95.301,95.8055,122.6595
80.8266,89.874,95.301,95.8055
82.4593,80.8266,89.874,95.301
86.7724,82.4593,80.8266,89.874
90.7579,86.7724,82.4593,80.8266
98.0626,90.7579,86.7724,82.4593
102.5171,98.0626,90.7579,86.7724
125.7369,102.5171,98.0626,90.7579
123.499,125.7369,102.5171,98.0626
122.454,123.499,125.7369,102.5171
102.9508,122.454,123.499,125.7369
102.3499,102.9508,122.454,123.499
93.4219,102.3499,102.9508,122.454
88.7382,93.4219,102.3499,102.9508
87.9183,88.7382,93.4219,102.3499
90.5658,87.9183,88.7382,93.4219
89.734,90.5658,87.9183,88.7382
96.5697,89.734,90.5658,87.9183
101.0261,96.5697,89.734,90.5658
120.0367,101.0261,96.5697,89.734
123.3104,120.0367,101.0261,96.5697
125.996,123.3104,120.0367,101.0261
99.9894,125.996,123.3104,120.0367
101.2116,99.9894,125.996,123.3104
94.8477,101.2116,99.9894,125.996
88.4239,94.8477,101.2116,99.9894
88.6775,88.4239,94.8477,101.2116
92.761,88.6775,88.4239,94.8477
96.9885,92.761,88.6775,88.4239
102.3169,96.9885,92.761,88.6775
108.6388,102.3169,96.9885,92.761
124.4571,108.6388,102.3169,96.9885
133.202,124.4571,108.6388,102.3169
134.4426,133.202,124.4571,108.6388
107.4831,134.4426,133.202,124.4571
111.408,107.4831,134.4426,133.202
104.8112,111.408,107.4831,134.4426
96.0485,104.8112,111.408,107.4831
94.9222,96.0485,104.8112,111.408
102.6901,94.9222,96.0485,104.8112
100.1583,102.6901,94.9222,96.0485
109.7879,100.1583,102.6901,94.9222
111.1361,109.7879,100.1583,102.6901
124.0982,111.1361,109.7879,100.1583
129.3138,124.0982,111.1361,109.7879
124.9696,129.3138,124.0982,111.1361
104.3101,124.9696,129.3138,124.0982
102.787,104.3101,124.9696,129.3138
94.9205,102.787,104.3101,124.9696
92.0467,94.9205,102.787,104.3101
89.7304,92.0467,94.9205,102.787
92.8576,89.7304,92.0467,94.9205
92.1938,92.8576,89.7304,92.0467
96.2302,92.1938,92.8576,89.7304
